bank_holiday_id,date,division,title,notes,bunting
436861480597,2019-01-01,england-and-wales,New Year’s Day,,True
499640401117,2019-01-01,northern-ireland,New Year’s Day,,True
923395886568,2019-01-01,scotland,New Year’s Day,,True
996691670135,2019-01-02,scotland,2nd January,,True
371586141829,2019-03-18,northern-ireland,St Patrick’s Day,Substitute day,True
338242853979,2019-04-19,england-and-wales,Good Friday,,False
824412919162,2019-04-19,northern-ireland,Good Friday,,False
205041386362,2019-04-19,scotland,Good Friday,,False
521252124276,2019-04-22,england-and-wales,Easter Monday,,True
170144719516,2019-04-22,northern-ireland,Easter Monday,,True
763867682067,2019-05-06,england-and-wales,Early May bank holiday,,True
398534724582,2019-05-06,northern-ireland,Early May bank holiday,,True
795834882189,2019-05-06,scotland,Early May bank holiday,,True
487076680125,2019-05-27,england-and-wales,Spring bank holiday,,True
486346851118,2019-05-27,northern-ireland,Spring bank holiday,,True
498534482307,2019-05-27,scotland,Spring bank holiday,,True
517284455547,2019-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),,False
600350067002,2019-08-05,scotland,Summer bank holiday,,True
164246106463,2019-08-26,england-and-wales,Summer bank holiday,,True
585688788910,2019-08-26,northern-ireland,Summer bank holiday,,True
694623506532,2019-12-02,scotland,St Andrew’s Day,Substitute day,True
106214241154,2019-12-25,england-and-wales,Christmas Day,,True
270701235484,2019-12-25,northern-ireland,Christmas Day,,True
522957102862,2019-12-25,scotland,Christmas Day,,True
387486692823,2019-12-26,england-and-wales,Boxing Day,,True
360906729815,2019-12-26,northern-ireland,Boxing Day,,True
564050179320,2019-12-26,scotland,Boxing Day,,True
899379876346,2020-01-01,england-and-wales,New Year’s Day,,True
467204894695,2020-01-01,northern-ireland,New Year’s Day,,True
101167849463,2020-01-01,scotland,New Year’s Day,,True
462279380771,2020-01-02,scotland,2nd January,,True
471647061234,2020-03-17,northern-ireland,St Patrick’s Day,,True
612998138410,2020-04-10,england-and-wales,Good Friday,,False
624455457243,2020-04-10,northern-ireland,Good Friday,,False
638636582557,2020-04-10,scotland,Good Friday,,False
659024666074,2020-04-13,england-and-wales,Easter Monday,,False
789243058159,2020-04-13,northern-ireland,Easter Monday,,False
737405007147,2020-05-08,england-and-wales,Early May bank holiday (VE day),,True
743794343012,2020-05-08,northern-ireland,Early May bank holiday (VE day),,True
444439140294,2020-05-08,scotland,Early May bank holiday (VE day),,True
450158636975,2020-05-25,england-and-wales,Spring bank holiday,,True
268013714104,2020-05-25,northern-ireland,Spring bank holiday,,True
34306769577,2020-05-25,scotland,Spring bank holiday,,True
768949835970,2020-07-13,northern-ireland,Battle of the Boyne (Orangemen’s Day),Substitute day,False
416619299064,2020-08-03,scotland,Summer bank holiday,,True
672996405166,2020-08-31,england-and-wales,Summer bank holiday,,True
939154571617,2020-08-31,northern-ireland,Summer bank holiday,,True
999250748782,2020-11-30,scotland,St Andrew’s Day,,True
551534704035,2020-12-25,england-and-wales,Christmas Day,,True
237903638778,2020-12-25,northern-ireland,Christmas Day,,True
468313326213,2020-12-25,scotland,Christmas Day,,True
514460668834,2020-12-28,england-and-wales,Boxing Day,Substitute day,True
354996449608,2020-12-28,northern-ireland,Boxing Day,Substitute day,True
392573206913,2020-12-28,scotland,Boxing Day,Substitute day,True
342590588291,2021-01-01,england-and-wales,New Year’s Day,,True
727661987006,2021-01-01,northern-ireland,New Year’s Day,,True
322654341136,2021-01-01,scotland,New Year’s Day,,True
267179883506,2021-01-04,scotland,2nd January,Substitute day,True
410816657776,2021-03-17,northern-ireland,St Patrick’s Day,,True
362945002384,2021-04-02,england-and-wales,Good Friday,,False
215740301543,2021-04-02,northern-ireland,Good Friday,,False
505257162556,2021-04-02,scotland,Good Friday,,False
280341537373,2021-04-05,england-and-wales,Easter Monday,,True
158175449060,2021-04-05,northern-ireland,Easter Monday,,True
425050878324,2021-05-03,england-and-wales,Early May bank holiday,,True
334830112891,2021-05-03,northern-ireland,Early May bank holiday,,True
257885580555,2021-05-03,scotland,Early May bank holiday,,True
409196623562,2021-05-31,england-and-wales,Spring bank holiday,,True
723880665001,2021-05-31,northern-ireland,Spring bank holiday,,True
154164580911,2021-05-31,scotland,Spring bank holiday,,True
121306904478,2021-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),,False
942601722341,2021-08-02,scotland,Summer bank holiday,,True
16832177057,2021-08-30,england-and-wales,Summer bank holiday,,True
929270897088,2021-08-30,northern-ireland,Summer bank holiday,,True
286863142488,2021-11-30,scotland,St Andrew’s Day,,True
35923795948,2021-12-27,england-and-wales,Christmas Day,Substitute day,True
632869371581,2021-12-27,northern-ireland,Christmas Day,Substitute day,True
111438338642,2021-12-27,scotland,Christmas Day,Substitute day,True
840515956543,2021-12-28,england-and-wales,Boxing Day,Substitute day,True
