booking_id,booking_date,date_key,route_id,region,guide_id,party_size,difficulty,duration_hours,discount_flag,discount_pct,price_per_person_ex_vat,sales_ex_vat,vat_amount,sales_inc_vat,staff_cost,margin_amount,margin_pct,season,is_weekend,is_bank_holiday,holiday_division
1,2024-01-02,20240102,1,lake_district,3,4,hard,5.0,0,0.0,111.69,446.77,89.35,536.12,140.21,223.38,0.5,winter,0,0,england-and-wales
2,2024-01-04,20240104,1,lake_district,4,5,hard,5.0,0,0.0,135.06,675.28,135.06,810.33,225.45,278.68,0.4127,winter,0,0,england-and-wales
3,2024-01-05,20240105,1,lake_district,2,4,hard,5.0,0,0.0,125.1,500.39,100.08,600.47,212.71,193.6,0.3869,winter,0,0,england-and-wales
4,2024-01-06,20240106,1,lake_district,4,2,hard,5.0,1,0.0731,129.77,240.56,48.11,288.67,89.22,89.14,0.3706,winter,1,0,england-and-wales
5,2024-01-07,20240107,1,lake_district,4,1,hard,5.0,0,0.0,120.12,120.12,24.02,144.15,51.82,41.49,0.3454,winter,1,0,england-and-wales
6,2024-01-08,20240108,1,lake_district,2,4,hard,5.0,0,0.0,127.39,509.54,101.91,611.45,214.56,190.4,0.3737,winter,0,0,england-and-wales
7,2024-01-08,20240108,1,lake_district,2,1,hard,5.0,0,0.0,127.01,127.01,25.4,152.42,45.34,58.09,0.4574,winter,0,0,england-and-wales
8,2024-01-09,20240109,1,lake_district,3,3,hard,5.0,0,0.0,137.85,413.54,82.71,496.25,156.56,182.65,0.4417,winter,0,0,england-and-wales
9,2024-01-10,20240110,1,lake_district,4,3,hard,5.0,0,0.0,132.52,397.56,79.51,477.08,161.49,124.9,0.3142,winter,0,0,england-and-wales
10,2024-01-10,20240110,1,lake_district,1,2,hard,5.0,0,0.0,117.9,235.8,47.16,282.96,105.47,73.49,0.3117,winter,0,0,england-and-wales
11,2024-01-12,20240112,1,lake_district,2,4,hard,5.0,0,0.0,124.15,496.61,99.32,595.93,150.2,237.78,0.4788,winter,0,0,england-and-wales
12,2024-01-14,20240114,1,lake_district,1,1,hard,5.0,0,0.0,130.15,130.15,26.03,156.18,48.16,57.17,0.4393,winter,1,0,england-and-wales
13,2024-01-17,20240117,1,lake_district,2,1,hard,5.0,1,0.1943,129.53,104.37,20.87,125.24,43.95,41.4,0.3966,winter,0,0,england-and-wales
14,2024-01-18,20240118,1,lake_district,4,2,hard,5.0,1,0.1854,132.88,216.49,43.3,259.78,96.12,64.95,0.3,winter,0,0,england-and-wales
15,2024-01-20,20240120,1,lake_district,4,3,hard,5.0,0,0.0,124.68,374.05,74.81,448.86,159.28,121.52,0.3249,winter,1,0,england-and-wales
16,2024-01-20,20240120,1,lake_district,1,2,hard,5.0,0,0.0,129.21,258.42,51.68,310.1,96.32,82.87,0.3207,winter,1,0,england-and-wales
17,2024-01-20,20240120,1,lake_district,2,1,hard,5.0,0,0.0,123.54,123.54,24.71,148.25,51.27,45.63,0.3694,winter,1,0,england-and-wales
18,2024-01-21,20240121,1,lake_district,1,2,hard,5.0,0,0.0,129.65,259.29,51.86,311.15,75.93,107.44,0.4143,winter,1,0,england-and-wales
